47,12/15/2022-15:27:59,35,1,1,5,7,7,7,4,4,2,2b5c8442-7c8c-11ed-a256-cb1082eb2227
48,12/15/2022-15:28:01,55,5,6,5,5,6,7,4,4,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
49,12/15/2022-15:28:23,60,7,6,6,7,4,4,5,3,3,2b5c8442-7c8c-11ed-a256-cb1082eb2227
50,12/15/2022-15:28:25,30,1,3,6,6,5,3,7,7,7,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
51,12/15/2022-15:28:38,69,2,5,4,5,4,3,4,4,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
52,12/15/2022-15:28:48,16,1,1,2,2,1,1,1,1,1,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
53,12/15/2022-15:28:50,73,5,3,5,5,5,4,6,3,4,2b5c8442-7c8c-11ed-a256-cb1082eb2227
54,12/15/2022-15:29:05,87,1,1,1,1,2,3,7,7,1,2b5c8442-7c8c-11ed-a256-cb1082eb2227
55,12/15/2022-15:29:06,9,1,1,6,6,5,7,3,3,3,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
56,12/15/2022-15:29:17,35,1,1,4,7,7,7,4,4,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
57,12/15/2022-15:29:23,22,1,1,5,4,3,5,4,2,1,2b5c8442-7c8c-11ed-a256-cb1082eb2227
58,12/15/2022-15:29:26,60,6,7,6,6,6,6,4,4,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
59,12/15/2022-15:30:01,21,1,6,4,5,3,3,4,4,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
60,12/15/2022-15:30:10,69,5,6,2,2,3,4,4,3,3,381d9da0-7c8d-11ed-a256-cb1082eb2227
61,12/15/2022-15:31:05,60,7,7,7,7,4,4,4,5,5,381d9da0-7c8d-11ed-a256-cb1082eb2227
62,12/15/2022-15:31:11,88,1,5,5,5,5,6,4,4,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
63,12/15/2022-15:31:19,60,7,6,3,7,7,5,4,4,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
64,12/15/2022-15:31:45,73,7,7,6,5,6,5,4,5,5,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
65,12/15/2022-15:32:01,87,1,1,3,3,3,3,2,5,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
66,12/15/2022-15:32:07,21,1,1,6,5,5,5,4,4,4,381d9da0-7c8d-11ed-a256-cb1082eb2227
67,12/15/2022-15:32:08,11,2,4,4,3,5,5,4,3,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
68,12/15/2022-15:33:10,36,1,2,5,3,4,6,3,3,3,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
69,12/15/2022-15:33:42,22,2,1,1,4,3,3,3,4,2,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
70,12/15/2022-15:33:54,15,1,1,2,2,2,1,2,3,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
71,12/15/2022-15:34:07,49,7,7,5,3,3,5,4,3,4,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
72,12/15/2022-15:34:10,88,1,1,7,5,5,5,6,6,6,381d9da0-7c8d-11ed-a256-cb1082eb2227
73,12/15/2022-15:34:21,12,3,1,3,4,3,4,2,1,4,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
